# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
bâcgîr	باجگير	fa
bâd	باد	fa
bâdbedest	بادبدست	fa
bâdbân	بادبان	fa
bâdbîz	بادبيز	fa
bâde	باده	fa
bâdefürûş	باده فروش	fa
bâdehâr	باده خوار	fa
bâdekeş	باده کش	fa
bâdenûş	باده نوش	fa
bâdire	بادره	ar
bâdiye	بادیه	ar
bâdâm	بادام	fa
bâdî	بادی	ar
bâh	باه	ar
bâhaber	باخبر	fa-ar
bâhired	باخرد	fa
bâhis	باحث	ar
bâhusus	باخصوص	fa-ar
bâhûr	باخور	ar
bâis	باعث	ar
bâjurnal	باژورنال	fa-fr
bâk	باک	fa
bâkir	باکر	ar
bâkire	باکره	ar
bâkî	باقی	ar
bâl	بال	fa
bâliğ	بالغ	ar
bâliş	بالش	fa
bâlâ	بالا	fa
bâlâbülend	بالابلند	fa
bâlâhâne	بالاخانه	fa
bâlâpervaz	بالاپرواز	fa
bâlîn	بالين	fa
bâm	بام	fa
bâmazbata	بامضبطه	fa-ar
bâmdâd	بامداد	fa
bâmukâvele	بامقاوله	fa-ar
bâng	بانگ	fa
bânû	بانو	fa
bâr	بار	fa
bârapor	باراپور	fa-fr
bârber	باربر	fa
bâre	باره	fa
bârgâh	بارگاه	fa
bârgîr	بارگير	fa
bârid	بارد	ar
bârika	بارقه	ar
bâriz	بارز	ar
bârver	بارور	fa
bârân	باران	fa
bârî	باری	fa
bârîk	باریک	fa
bârû	بارو	fa
bâtakrîr	باتقریر	fa-ar
bâtıl	باطل	ar
bâtınen	باطنا	ar
bâvekar	باوقار	fa-ar
bâyi	بایع	ar
bâz	باز	fa
bâzî	بازی	fa
bâzîçe	بازیچه	fa
bâzû	بازو	fa
bâğ	باغ	fa
bâğbân	باغبان	fa
bâğçe	باغچه	fa
bîaman	بی امان	fa
bîbahâ	بی بها	fa
bîbedel	بی بدل	fa-ar
bîbehre	بی بهره	fa
bîcan	بی جان	fa
bîcâ	بيجا	fa
bîd	بيد	fa
bîdil	بيدل	fa
bîdin	بی دین	fa-ar
bîdâd	بيداد	fa
bîdâdger	بيدادگر	fa
bîdâr	بيدار	fa
bîdârbaht	بيداربخت	fa
bîedeb	بی ادب	fa-ar
bîeman	بی امان	fa
bîendişe	بی اندیشه	fa
bîgâne	بيگانه	fa
bîgüman	بی گمان	fa
bîgünah	بی گناه	fa
bîh	بيخ	fa
bîhaber	بی خبر	fa-ar
bîhadd	بی حد	fa-ar
bîhareket	بی حرکت	fa-ar
bîhayat	بی حيات	fa-ar
bîhayâ	بی حيا	fa-ar
bîhemtâ	بی همتا	fa
bîhesâb	بی حساب	fa-ar
bîhiss	بی حس	fa-ar
bîhod	بيخود	fa
bîhude	بيهده	fa
bîhâsıl	بی حاصل	fa-ar
bîinsâf	بی انصاف	fa-ar
bîkarâr	بی قرار	fa-ar
bîkâr	بيکار	fa
bîl	بيل	fa
bîm	بيم	fa
bîma'nâ	بی معنی	fa-ar
bîmecâl	بی مجال	fa-ar
bîmekân	بی مکان	fa-ar
bîmerhamet	بی مرحمت	fa-ar
bîmeze	بی مزه	fa
bîmihr	بی مهر	fa
bîmisâl	بی مثال	fa-ar
bîmuhâbâ	بی محابا	fa-ar
bîmâr	بيمار	fa
bîmârân	بيماران	fa
bîmübâlât	بی مبالات	fa-ar
bîmürüvvet	بی مروت	fa-ar
bînamaz	بی نماز	fa
bînasîb	بی نصيب	fa-ar
bînazîr	بی نظير	fa-ar
bînemek	بی نمک	fa
bînevâ	بينوا	fa
bînihaye	بی نهایه	fa-ar
bînâ	بينا	fa
bînâm	بينام	fa
bînî	بينی	fa
bîpervâ	بی پروا	fa
bîpâyân	بی پایان	fa
bîrahm	بی رحم	fa-ar
bîrayb	بی ریب	fa-ar
bîrûn	بيرون	fa
bîsebat	بی ثبات	fa-ar
bîsebeb	بی سبب	fa-ar
bîser	بی سر	fa
bîst	بيست	fa
bîsûd	بی سود	fa
bîtaraf	بی طرف	fa-ar
bîtarafâne	بی طرفانه	fa-ar
bîtâb	بيتاب	fa-ar
bîtâbane	بيتابانه	fa
bîve	بيوه	fa
bîvefâ	بی وفا	fa-ar
bîvezen	بيوه زن	fa
bîzâr	بيزار	fa
bîâr	بی عار	fa-ar
bîçunuçirâ	بی چون و چرا	fa
bîçâre	بيچاره	fa
bîçâregân	بيچارگان	fa
bîşe	بيشه	fa
bîşerm	بی شرم	fa
bîşuur	بی شعور	fa-ar
bîşübhe	بی شبهه	fa-ar
bîşümâr	بی شمار	fa
bû	بو	fa
bûd	بود	fa
bûm	بوم	fa
bûmehen	بومهن	fa
bûr	بور	fa
bûriya	بوریا	fa
bûse	بوسه	fa
bûstân	بوستان	fa
bûte	بوته	fa
bûy	بوی	fa
bûydâr	بویدار	fa
bûzîne	بوزینه	fa
bühtân	بهتان	ar
bükâ	بکاء	ar
bülaceb	بوالعجب	ar
